Fecha,Numero,Socio 1,Socio 2,Mes,Semana ISO
2026-06-18 23:08,50237942465,Hospital Herrera Llerandi,Grupo Hospitalario La Paz,2026-06,2026-W25
2026-07-08 17:37,50258792752,Grupo Hospitalario La Paz,MEDHOS,2026-07,2026-W28
2026-07-08 17:37,50258792752,Integra Cáncer Institute,MEDHOS,2026-07,2026-W28
2026-07-08 17:42,50258792752,Nugenesis Plastic Surgery,MEDHOS,2026-07,2026-W28
2026-07-08 17:44,50258792752,Clínica Dental Odontoafre,Ríe Genial,2026-07,2026-W28
2026-07-08 17:46,50258792752,Nugenesis Plastic Surgery,MEDHOS,2026-07,2026-W28
2026-07-08 17:47,50258792752,Hospital Herrera Llerandi,Grupo Hospitalario La Paz,2026-07,2026-W28
2026-07-08 17:48,50258792752,Hospital Ángeles,MEDHOS,2026-07,2026-W28
2026-07-08 17:51,50258792752,Hospital Ángeles,Hospital Centro Médico,2026-07,2026-W28
2026-07-08 17:56,50258792752,ISMILE,Centro Dental San Lucas,2026-07,2026-W28
2026-07-08 18:21,50258792752,Centro Dental San Lucas,Nugenesis Plastic Surgery,2026-07,2026-W28
2026-07-08 18:33,50258792752,ISMILE,Nugenesis Plastic Surgery,2026-07,2026-W28
2026-07-08 18:34,50258792752,Hospital Centro Médico,ISMILE,2026-07,2026-W28
2026-07-29 00:54,50258792752,Hospital Centro Médico,Nugenesis Plastic Surgery,2026-07,2026-W31
2026-07-29 01:40,50258792752,Hospital Centro Médico,Nugenesis Plastic Surgery,2026-07,2026-W31
2026-08-20 19:49,50230187062,Hospital Centro Médico,VISUALIZA,2026-08,2026-W34
